Quote,Author
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",J.K. Rowling
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix
“To die will be an awfully big adventure.”,J.M. Barrie
“It takes courage to grow up and become who you really are.”,E.E. Cummings
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini
“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,Harper Lee
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle
“Never tell the truth to people who are not worthy of it.”,Mark Twain
"“A person's a person, no matter how small.”",Dr. Seuss
"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin
